date,invoice_type,invoice_no,sku_code,product_category,brand_name,retailer_code,retailer_name,retailer_type,distributor_code,distributor_name,distributor_type,list_price,price_sold,quantity_sold,invoice_value,discount_amount,discount_percentage,unit_profit
2021-12-24,Normal,QRA-006-21RT08024980-01,4a228171fe59e45c5c4ebbd433e237a2ff5ff543,FABRIC CARE,Brand 2,1a3bec4cfc406d1f02f94757e7b39080ffbe7a42,Retailer 140,CHAIN,Q006,Distributor B,Direct,6.8,5.05,6,30.3,1.75,25.735294,0.29
2022-07-04,Normal,QRA-004-22RT01008380-01,ef78615f989af6b50e6d02a14c67717f94c751b5,DEODORANTS & FRAGRANCES,Brand 21,07f317691c49caf14ac0beab7f4c68bf71858a13,Retailer 37,CHAIN,Q004,Distributor A,Exclusive,3.5,1.6,6,9.6,1.9,54.285713,-0.85
2021-10-29,Normal,QRA-004-21RT01020760-01,fd4f6c76cd1c6775695c6371c69774e756d839ad,SKIN CLEANSING,Brand 7,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q004,Distributor A,Exclusive,10.0,5.1,6,30.6,4.9,49.0,-1.9
2023-02-20,Normal,QRA-004-23RT05002150-01,d4f7a4d394e6986cb5bb762e652c3da852b67c9e,SKIN CLEANSING,Brand 13,8c9cf78462fe727421cee082ccbf531cd8318c79,Retailer 704,INDEPENDENT,Q004,Distributor A,Exclusive,2.9,2.1,12,25.2,0.8,27.586206,0.07
2022-03-08,Normal,QRA-004-22RT01002800-01,1a361c7d19bd2b519dc46e19aa0df3126a4b9020,DEODORANTS & FRAGRANCES,Brand 21,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q004,Distributor A,Exclusive,3.5,1.7,12,20.4,1.8,51.42857,-0.75
2023-06-08,Normal,QRA-004-23RT04007390-01,ba50e6781c6dff57436b1a3821884f4f19ff58e1,SKIN CLEANSING,Brand 13,b1d9a1d1e2ab495dafc40ba78dcdfa07b9d26c65,Retailer 891,INDEPENDENT,Q004,Distributor A,Exclusive,10.1,6.2,6,37.2,3.9,38.61386,-0.87
2023-04-10,Normal,QRA-004-23RT03005760-01,6a308a275fe2c3e7e3243b0dfa5c3b0afead86db,SKIN CLEANSING,Brand 17,a7a0c857ab156e3e25b57aa5a3032966f3681611,Retailer 839,INDEPENDENT,Q004,Distributor A,Exclusive,5.9,4.2,3,12.6,1.7,28.813559,0.07
2023-08-15,Normal,QRA-007-23RT02008750-01,92b0c7c3c5520ede8048b57c7ddc15db16b0dd57,HAIR CARE,Brand 25,cb4c4984bc8670ee34252c58c0b6d0fe571d46ee,Retailer 1010,INDEPENDENT,Q007,Distributor C,Exclusive,7.1,4.85,6,29.1,2.25,31.690142,-0.12
2022-08-19,Normal,QRA-006-22RT01010120-01,9cd7c09945cd3624134958fa05a6d64cdf8fa23c,FABRIC CARE,Brand 2,14a064ab7f1827e7455bad7671c3cb3a0a61bbec,Retailer 107,INDEPENDENT,Q006,Distributor B,Direct,15.1,10.9,4,43.6,4.2,27.81457,0.33
2021-11-11,Normal,QRA-007-21RT03020640-01,08db26b86948a45e66a422bc24c4ab43cb016671,HAIR CARE,Brand 25,bfb10def28fe2a57794710294576f5a141d60fa2,Retailer 949,INDEPENDENT,Q007,Distributor C,Exclusive,9.4,6.3,6,37.8,3.1,32.97872,-0.28
2024-06-20,Normal,QRA-004-24RT01004410-01,bbebdd88af689de02c3741a593928f9675f4b2df,SKIN CLEANSING,Brand 13,14a064ab7f1827e7455bad7671c3cb3a0a61bbec,Retailer 107,INDEPENDENT,Q004,Distributor A,Exclusive,7.3,4.8,12,57.6,2.5,34.246574,-0.31
2022-09-05,Normal,QRA-003-22RT04012490-01,37424ee39eb4f20dcf29ceaa016cbc70cd448f7a,SCRATCH COOKING AIDS,Brand 12,df993f921fdaa5d3a186f4dae4a1b7f67335bf82,Retailer 1120,CHAIN,Q003,Distributor D,Selective,1.6,1.5,18,27.0,0.1,6.25,0.38
2021-04-05,Normal,QRA-003-21RT01006850-01,dac5ad21a92ae602ba5acd39a3444a202f7bb969,SCRATCH COOKING AIDS,Brand 12,95af778989797720124f8d7319f94f088ec4b117,Retailer 747,CHAIN,Q003,Distributor D,Selective,1.6,1.3,12,15.6,0.3,18.75,0.18
2023-05-22,Normal,QRA-007-23RT02005370-01,92b0c7c3c5520ede8048b57c7ddc15db16b0dd57,HAIR CARE,Brand 25,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q007,Distributor C,Exclusive,7.1,4.85,6,29.1,2.25,31.690142,-0.12
2024-07-05,Normal,QRA-004-24RT22000310-01,dc8d1e49be474d0753c76289130ddf5839d10806,SKIN CLEANSING,Brand 7,241abc9502c0ac90e9938a269dbfa9a2bbc54ef7,Retailer 192,CHAIN,Q004,Distributor A,Exclusive,10.0,5.8,6,34.8,4.2,42.0,-1.2
2023-04-20,Normal,QRA-004-23RT02004150-01,fb9a4309368d9309bd57c76eaed27046523a5490,DEODORANTS & FRAGRANCES,Brand 21,0d5a2bfe207c67d419c425f6a5f6ffb409e8cac9,Retailer 68,CHAIN,Q004,Distributor A,Exclusive,3.8,2.15,6,12.9,1.65,43.42105,-0.51
2021-09-07,Normal,QRA-003-21RT06013210-01,2c8236b9317151ae7e1676597a0eca6b4cb698aa,SCRATCH COOKING AIDS,Brand 12,1a090d780a94bad71111c32de3d620372b00ebff,Retailer 138,INDEPENDENT,Q003,Distributor D,Selective,2.7,2.6,32,83.2,0.1,3.7037036,0.71
2021-12-06,Normal,QRA-007-21RT01023030-01,f18c193eeaf5d2c9b76aa9034e42c433cbe94f10,HAIR CARE,Brand 4,3af23f85526727815c705b4a22de590a60c37cf8,Retailer 299,HEALTH AND BEAUTY,Q007,Distributor C,Exclusive,14.8,9.8,24,235.2,5.0,33.783783,-0.56
2022-08-25,Normal,QRA-007-22RT04011940-01,45feda5c3155c7fa15f995afcb3535c6346bd57b,HAIR CARE,Brand 25,17025e074c5865cbc87741727c50dc23e424d6e3,Retailer 123,INDEPENDENT,Q007,Distributor C,Exclusive,6.2,3.4,6,20.4,2.8,45.16129,-0.94
2022-01-03,Normal,QRA-006-22RT03000080-01,523b41b5b2038d90561a3d1eb9017a1518a1b8e6,FABRIC CARE,Brand 2,a14145ba6cf0196080f712e4e821b5184eddfe7e,Retailer 796,INDEPENDENT,Q006,Distributor B,Direct,12.6,8.7,4,34.8,3.9,30.952381,-0.12
2024-09-23,Normal,QRA-007-24RT21004310-01,3dcae30b0c2a109f9bb85a84f9914d63f0c60e92,HAIR CARE,Brand 25,8c9cf78462fe727421cee082ccbf531cd8318c79,Retailer 704,INDEPENDENT,Q007,Distributor C,Exclusive,6.4,3.6,3,10.8,2.8,43.75,-0.88
2024-06-11,Normal,QRA-007-24RT02005800-01,0e3c01fbce38b853d4db9136d404dc3db6ed47cd,HAIR CARE,Brand 25,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q007,Distributor C,Exclusive,9.7,5.15,6,30.9,4.55,46.907215,-1.64
2024-03-28,Normal,QRA-004-24RT10004420-01,f24c41169fd260733b4017a7a2602d1ce1ad8466,SKIN CLEANSING,Brand 17,f00ff95f606b2860c811733f6337d7070d700bb6,Retailer 1195,INDEPENDENT,Q004,Distributor A,Exclusive,5.9,3.95,6,23.7,1.95,33.050846,-0.18
2022-07-14,Normal,QRA-004-22RT01008870-01,99a5bcd145443a0624c7c76c8d6f90d9d3e20639,SKIN CLEANSING,Brand 7,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q004,Distributor A,Exclusive,10.0,5.1,6,30.6,4.9,49.0,-1.9
2022-03-30,Normal,QRA-007-22RT03005460-01,2015645036b8e5051005acd030ca92f9545752c9,HAIR CARE,Brand 7,2f5a09581f71d9cdda0eb05797694936a0adeee3,Retailer 243,INDEPENDENT,Q007,Distributor C,Exclusive,7.3,5.8,3,17.4,1.5,20.547945,0.69
2022-03-08,Normal,QRA-006-22RT08003440-01,29e4e90c2d30cc5a9efec839178002f504142e29,FABRIC CARE,Brand 2,b3c0cb7308a81cd84cb240868bfffcda3972b641,Retailer 899,CHAIN,Q006,Distributor B,Direct,12.6,8.7,4,34.8,3.9,30.952381,-0.12
2022-02-16,Normal,QRA-004-22RT04002480-01,cb0910eb640f4597566e744fe38a12d34d4140a5,DEODORANTS & FRAGRANCES,Brand 21,ff1a111e147afd9103b80081905009778ca33361,Retailer 1271,INDEPENDENT,Q004,Distributor A,Exclusive,5.2,4.25,6,25.5,0.95,18.26923,0.61
2024-01-23,Normal,QRA-007-24RT02000920-01,770786cebf7d820f12b926fae72bd70937132403,HAIR CARE,Brand 25,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q007,Distributor C,Exclusive,9.7,5.15,6,30.9,4.55,46.907215,-1.64
2024-03-27,Normal,QRA-007-24RT05004490-01,bbff49b6e12bf33fc4ec19b4d958c401084818d9,HAIR CARE,Brand 25,c097b882f02103ba053fcc1f1cabf88d083617f4,Retailer 954,INDEPENDENT,Q007,Distributor C,Exclusive,9.7,5.8,3,17.4,3.9,40.206184,-0.99
2024-05-20,Normal,QRA-004-24RT01003580-01,8443e28d10aff54153ce3cd40754374c5919ae96,DEODORANTS & FRAGRANCES,Brand 21,07f317691c49caf14ac0beab7f4c68bf71858a13,Retailer 37,CHAIN,Q004,Distributor A,Exclusive,7.6,4.6,6,27.6,3.0,39.473682,-0.72
2022-06-23,Normal,QRA-003-22RT06008670-01,04286a626e72022f7adee6f2220cc042c58dd220,COOKING AIDS,Brand 12,f31aee6687ad76b96cfff1907aa378d2b901b3a0,Retailer 1212,INDEPENDENT,Q003,Distributor D,Selective,1.9,1.8,24,43.2,0.1,5.263158,0.47
2024-08-13,Normal,QRA-004-24RT22002800-01,d23d4bbd60149f7badfaa3ea57fe5e76ba5621f4,SKIN CLEANSING,Brand 13,241abc9502c0ac90e9938a269dbfa9a2bbc54ef7,Retailer 192,CHAIN,Q004,Distributor A,Exclusive,2.9,2.1,12,25.2,0.8,27.586206,0.07
2022-06-06,Normal,QRA-004-22RT03008890-01,c034c7694605bcfc43ee297f459408f706a74949,SKIN CLEANSING,Brand 13,a7a0c857ab156e3e25b57aa5a3032966f3681611,Retailer 839,INDEPENDENT,Q004,Distributor A,Exclusive,6.8,3.9,3,11.7,2.9,42.64706,-0.86
2023-09-25,Normal,QRA-007-23RT05012810-01,3dcae30b0c2a109f9bb85a84f9914d63f0c60e92,HAIR CARE,Brand 25,531e2070db0a4de8a95af40f39cc456da5c54eb6,Retailer 423,INDEPENDENT,Q007,Distributor C,Exclusive,6.4,3.85,3,11.55,2.55,39.84375,-0.63
2021-03-16,Normal,QRA-003-21RT06003860-01,aa4d658ff4c6c5debb7cee39c90030689dfa1674,SCRATCH COOKING AIDS,Brand 12,1a090d780a94bad71111c32de3d620372b00ebff,Retailer 138,INDEPENDENT,Q003,Distributor D,Selective,1.7,1.65,8,13.2,0.05,2.9411764,0.46
2023-02-21,Normal,QRA-004-23RT06002640-01,1b35933ad323da8b945ad68c94ee6f6befd4ce06,SKIN CLEANSING,Brand 17,ffba764f51c909da97092c220dba32c009d3a04b,Retailer 1275,INDEPENDENT,Q004,Distributor A,Exclusive,8.2,5.45,3,16.35,2.75,33.536587,-0.29
2022-01-28,Normal,QRA-004-22RT05001630-01,dc8d1e49be474d0753c76289130ddf5839d10806,SKIN CLEANSING,Brand 7,8c9cf78462fe727421cee082ccbf531cd8318c79,Retailer 704,INDEPENDENT,Q004,Distributor A,Exclusive,10.0,5.6,6,33.6,4.4,44.0,-1.4
2024-11-12,Normal,QRA-007-24RT22008620-01,7837b371e7f56f9b7de370eb367323e1f6f10613,HAIR CARE,Brand 25,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q007,Distributor C,Exclusive,9.7,5.15,12,61.8,4.55,46.907215,-1.64
2023-08-24,Normal,QRA-003-23RT05011280-01,04286a626e72022f7adee6f2220cc042c58dd220,COOKING AIDS,Brand 12,47007f559dfa65b7d3930ab1e68325bdffd4ace6,Retailer 360,INDEPENDENT,Q003,Distributor D,Selective,2.0,1.25,24,30.0,0.75,37.5,-0.15
2022-09-23,Normal,QRA-004-22RT04013640-01,e35d6631baa384eb18fd6387ea5c0909127187b2,SKIN CLEANSING,Brand 17,9f887d70141d2514965169514cc78518a81919b1,Retailer 789,INDEPENDENT,Q004,Distributor A,Exclusive,8.2,5.45,6,32.7,2.75,33.536587,-0.29
2024-02-05,Normal,QRA-004-24RT03002180-01,ecfdb875a1215362f722b805a7eb396749efafcd,SKIN CLEANSING,Brand 13,4e0c601935c96d47573996260cd8890a32538d33,Retailer 400,INDEPENDENT,Q004,Distributor A,Exclusive,10.1,6.2,3,18.6,3.9,38.61386,-0.87
2021-05-28,Normal,QRA-004-21RT06007670-01,014965713db823fd27e343d297858cbe998f8f80,SKIN CLEANSING,Brand 17,ba8977fed33e9d81ff109e9a3f0b5255dac30b2d,Retailer 929,INDEPENDENT,Q004,Distributor A,Exclusive,4.2,2.45,12,29.4,1.75,41.666668,-0.49
2023-02-24,Normal,QRA-004-23RT03003060-01,ba50e6781c6dff57436b1a3821884f4f19ff58e1,SKIN CLEANSING,Brand 13,d21b76e9ec1934d32fcbd396c7e0340593203fa8,Retailer 1047,INDEPENDENT,Q004,Distributor A,Exclusive,10.1,6.2,3,18.6,3.9,38.61386,-0.87
2023-02-20,Normal,QRA-007-23RT05002220-01,9f749e17435e6c2c63e3db7df83affd6506c8713,SKIN CARE,Brand 28,bc3e20d7d548aad91e0cddcf9d03790f9bafdd1a,Retailer 937,INDEPENDENT,Q007,Distributor C,Exclusive,2.0,1.9,6,11.4,0.1,5.0,0.5
2024-08-12,Normal,QRA-007-24RT25002530-01,074f8ef3f14af463426fa1d6ecc6bd2f09f4306f,HAIR CARE,Brand 25,ef17071fe7c901fc3f0c0f8815ae9c04d29aed3a,Retailer 1192,INDEPENDENT,Q007,Distributor C,Exclusive,9.7,5.8,3,17.4,3.9,40.206184,-0.99
2024-08-15,Normal,QRA-007-24RT25002990-01,770786cebf7d820f12b926fae72bd70937132403,HAIR CARE,Brand 25,0c0a5d4293715c25c66720e74c9d238ff1016f59,Retailer 57,INDEPENDENT,Q007,Distributor C,Exclusive,9.7,5.8,6,34.8,3.9,40.206184,-0.99
2021-11-11,Normal,QRA-007-21RT04018840-01,29823aa54d0ce56487aa37d704f5e8e0bcda3cb1,SKIN CARE,Brand 28,9f887d70141d2514965169514cc78518a81919b1,Retailer 789,INDEPENDENT,Q007,Distributor C,Exclusive,4.7,4.6,12,55.2,0.1,2.1276596,1.31
2022-08-16,Normal,QRA-004-22RT06011070-01,2ce80c1c8c9a89a7bcdfc35b1a8dee07a9cd69a6,SKIN CLEANSING,Brand 13,97f60b203e041db2e78b81052483d22090623741,Retailer 756,MINIMART,Q004,Distributor A,Exclusive,2.9,1.45,6,8.7,1.45,50.0,-0.58
2022-06-20,Normal,QRA-006-22RT04008850-01,26b5210c1a48eebefe04acf03b72185fcb76fff4,FABRIC CARE,Brand 2,44d3cc6a8551ed1b3e61940435a86c69643434e3,Retailer 349,INDEPENDENT,Q006,Distributor B,Direct,5.1,4.6,6,27.6,0.5,9.803922,1.03
2024-02-13,Normal,QRA-006-24RT05002280-01,47df060c65cafc5928d959da00a46a60c957347d,FABRIC CARE,Brand 2,47007f559dfa65b7d3930ab1e68325bdffd4ace6,Retailer 360,INDEPENDENT,Q006,Distributor B,Direct,12.6,8.35,6,50.1,4.25,33.73016,-0.47
2024-06-12,Normal,QRA-003-24RT05008510-01,9968ec2073a0f49f744e7af8cc26e1d385fbf55e,COOKING AIDS,Brand 12,531e2070db0a4de8a95af40f39cc456da5c54eb6,Retailer 423,INDEPENDENT,Q003,Distributor D,Selective,3.2,2.9,27,78.3,0.3,9.375,0.66
2022-09-06,Normal,QRA-003-22RT04012610-01,9108e71c1210fcd91bde4f40ea2b72b91a58271f,COOKING AIDS,Brand 12,b1d9a1d1e2ab495dafc40ba78dcdfa07b9d26c65,Retailer 891,INDEPENDENT,Q003,Distributor D,Selective,1.5,1.3,12,15.6,0.2,13.333333,0.25
2022-08-02,Normal,QRA-003-22RT06010440-01,2b2c3c80721383c90f439c7942a483217591de04,SCRATCH COOKING AIDS,Brand 12,1a090d780a94bad71111c32de3d620372b00ebff,Retailer 138,INDEPENDENT,Q003,Distributor D,Selective,2.0,1.9,24,45.6,0.1,5.0,0.5
2024-05-10,Normal,QRA-007-24RT06007140-01,5a3c4cd9e308354ac39509f69002d26b8eb846b2,HAIR CARE,Brand 25,a6ec79a3ca7335835643015f94cf07516babe5a3,Retailer 832,CHAIN,Q007,Distributor C,Exclusive,6.4,3.6,3,10.8,2.8,43.75,-0.88
2021-04-26,Normal,QRA-007-21RT04006940-01,87fff480d154034c71d1419f90ef4c5047ab1d3c,HAIR CARE,Brand 7,6941811429c8aac7ba900cfd9ea56b0ccb146150,Retailer 519,SUPERMARKET,Q007,Distributor C,Exclusive,7.3,6.8,3,20.4,0.5,6.849315,1.69
2023-02-06,Normal,QRA-004-23RT02001150-01,7339ffd0263de86071fb9c66119cf10ae9e7acb4,DEODORANTS & FRAGRANCES,Brand 21,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q004,Distributor A,Exclusive,7.4,5.0,3,15.0,2.4,32.432434,-0.18
2022-04-26,Normal,QRA-004-22RT01005090-01,ef78615f989af6b50e6d02a14c67717f94c751b5,DEODORANTS & FRAGRANCES,Brand 21,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q004,Distributor A,Exclusive,3.5,1.7,6,10.2,1.8,51.42857,-0.75
2022-05-05,Normal,QRA-007-22RT03007230-01,509cd4c070117392df49ed3b12e1b5cf96363f00,HAIR CARE,Brand 25,efd915752d24aa71a66d33dd1b4622a4f7a19451,Retailer 1194,INDEPENDENT,Q007,Distributor C,Exclusive,6.2,3.9,3,11.7,2.3,37.096775,-0.44
2023-01-30,Normal,QRA-007-23RT06001300-01,af601118d496b97d1700910520d83fa732891541,HAIR CARE,Brand 25,4a679e877fbe6fa4020a71ff3ee7d78c326e579f,Retailer 384,INDEPENDENT,Q007,Distributor C,Exclusive,6.4,3.85,3,11.55,2.55,39.84375,-0.63
2022-09-29,Normal,QRA-004-22RT03015330-01,693b1957ecee702a6158ddd14c39dffcbf305371,DEODORANTS & FRAGRANCES,Brand 21,bfb10def28fe2a57794710294576f5a141d60fa2,Retailer 949,INDEPENDENT,Q004,Distributor A,Exclusive,3.0,1.7,6,10.2,1.3,43.333332,-0.4
2024-07-15,Normal,QRA-006-24RT23000780-01,2b83a938699a128b17305235c3a0a7ad4be3b3c5,FABRIC CARE,Brand 2,b1d9a1d1e2ab495dafc40ba78dcdfa07b9d26c65,Retailer 891,INDEPENDENT,Q006,Distributor B,Direct,6.9,5.35,8,42.8,1.55,22.463768,0.52
2023-12-04,Normal,QRA-003-23RT04016010-01,2e444ba8d0f2b00ccc730f73078b10404991ca3c,COOKING AIDS,Brand 12,120d36887dcfee753f97efd2f2552cb6a71bbbf9,Retailer 96,INDEPENDENT,Q003,Distributor D,Selective,1.7,1.6,36,57.6,0.1,5.882353,0.41
2022-05-24,Normal,QRA-004-22RT04007490-01,27d1cb02398aaa4af2d91d480292389d269049de,SKIN CLEANSING,Brand 17,ff1a111e147afd9103b80081905009778ca33361,Retailer 1271,INDEPENDENT,Q004,Distributor A,Exclusive,8.2,5.45,6,32.7,2.75,33.536587,-0.29
2023-11-21,Normal,QRA-007-23RT02012350-01,074f8ef3f14af463426fa1d6ecc6bd2f09f4306f,HAIR CARE,Brand 25,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q007,Distributor C,Exclusive,9.7,5.15,6,30.9,4.55,46.907215,-1.64
2024-05-14,Normal,QRA-006-24RT04006280-01,ec9d18c332ad110b12259f1970ca175e100e3f89,FABRIC CARE,Brand 2,b1d9a1d1e2ab495dafc40ba78dcdfa07b9d26c65,Retailer 891,INDEPENDENT,Q006,Distributor B,Direct,7.3,7.1,8,56.8,0.2,2.739726,1.99
2023-02-01,Normal,QRA-004-23RT01000510-01,69a9ec96757ec490f0c936f43609ec90edbe82b2,SKIN CLEANSING,Brand 13,3af23f85526727815c705b4a22de590a60c37cf8,Retailer 299,HEALTH AND BEAUTY,Q004,Distributor A,Exclusive,10.1,5.8,180,1044.0,4.3,42.574257,-1.27
2021-08-30,Normal,QRA-004-21RT04014400-01,d0b0f323155afe4ba4f7584d2fdaf27693e521b6,SKIN CLEANSING,Brand 13,df993f921fdaa5d3a186f4dae4a1b7f67335bf82,Retailer 1120,CHAIN,Q004,Distributor A,Exclusive,9.6,5.7,3,17.1,3.9,40.625,-1.02
2022-12-16,Normal,QRA-004-22RT09006170-01,a08750a5a8aa6a647c93aebfb17885195de0135e,SKIN CLEANSING,Brand 17,8587b85ce74c476cd282b371abb0cd55a5a2e94a,Retailer 678,CHAIN,Q004,Distributor A,Exclusive,8.2,5.3,6,31.8,2.9,35.365852,-0.44
2024-10-07,Normal,QRA-003-24RT21004980-01,987b96c294ae9d1c721ed9347857c695f8829001,COOKING AIDS,Brand 12,8c9cf78462fe727421cee082ccbf531cd8318c79,Retailer 704,INDEPENDENT,Q003,Distributor D,Selective,3.0,2.95,16,47.2,0.05,1.6666666,0.85
2021-10-26,Normal,QRA-006-21RT03019660-01,5783162f561865639f4533271bd90fabfa7ee3c4,FABRIC CARE,Brand 2,856f284c181bfa5b63da859f66378e855260923a,Retailer 676,MINIMART,Q006,Distributor B,Direct,12.9,11.85,4,47.4,1.05,8.139535,2.82
2022-08-22,Normal,QRA-004-22RT02005610-01,18924facf310f4d6a99e2e897509c9c6b4b3f208,SKIN CLEANSING,Brand 13,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q004,Distributor A,Exclusive,10.1,5.35,6,32.1,4.75,47.0297,-1.72
2023-01-09,Normal,QRA-004-23RT06000540-01,48018f42dbf54fc3b9493de95b97a20aefc22b83,SKIN CLEANSING,Brand 13,60339d8529e56efcb33de23ca326ee0ce4635846,Retailer 484,MINIMART,Q004,Distributor A,Exclusive,10.1,9.9,3,29.7,0.2,1.980198,2.83
2023-05-08,Normal,QRA-003-23RT05005740-01,dd85307a4c3ba509ae652623ea052dbc96840fe3,COOKING AIDS,Brand 12,b94d5659b049cef9fa0fb8bc3d0d6315f35fdadd,Retailer 922,INDEPENDENT,Q003,Distributor D,Selective,2.9,2.5,12,30.0,0.4,13.793103,0.47
2021-09-07,Normal,QRA-006-21RT06013210-01,b6aec03a3964524e684d134ca8fbf94c2c710611,FABRIC CARE,Brand 2,1a090d780a94bad71111c32de3d620372b00ebff,Retailer 138,INDEPENDENT,Q006,Distributor B,Direct,1.6,1.55,24,37.2,0.05,3.125,0.43
2024-09-19,Normal,QRA-003-24RT22005370-01,9108e71c1210fcd91bde4f40ea2b72b91a58271f,COOKING AIDS,Brand 12,2f5a09581f71d9cdda0eb05797694936a0adeee3,Retailer 243,INDEPENDENT,Q003,Distributor D,Selective,1.6,1.4,16,22.4,0.2,12.5,0.28
2024-05-28,Normal,QRA-004-24RT06008140-01,045303b2d28baae50feed261297b27b6fe8d21e7,SKIN CLEANSING,Brand 17,fd10ab8267ea992bf37c0ca7efd0d14004071cb6,Retailer 1265,INDEPENDENT,Q004,Distributor A,Exclusive,8.9,5.7,6,34.2,3.2,35.955055,-0.53
2024-03-11,Normal,QRA-007-24RT03003670-01,7837b371e7f56f9b7de370eb367323e1f6f10613,HAIR CARE,Brand 25,241abc9502c0ac90e9938a269dbfa9a2bbc54ef7,Retailer 192,CHAIN,Q007,Distributor C,Exclusive,9.7,5.8,6,34.8,3.9,40.206184,-0.99
2023-09-06,Normal,QRA-003-23RT12003730-01,a46e8bedb624a7e68d363332913d3fc838cef5f7,SCRATCH COOKING AIDS,Brand 12,1046ee8177382d4410165e52bdf354d502e8a581,Retailer 87,OTHERS,Q003,Distributor D,Selective,1.7,1.6,36,57.6,0.1,5.882353,0.41
2021-09-07,Normal,QRA-004-21RT01017020-01,e38d9ddf75d76dce054c10d43e13f278e0cf7bb3,SKIN CLEANSING,Brand 13,1393ad4a0aae8305259edbd1f81fd94a4f0f7b7b,Retailer 102,CHAIN,Q004,Distributor A,Exclusive,9.6,5.35,6,32.1,4.25,44.270832,-1.37
2023-02-22,Normal,QRA-007-23RT02001890-01,11faefc935c2c55ee80bb833ec8d4b029a7ad5e1,HAIR CARE,Brand 25,cb4c4984bc8670ee34252c58c0b6d0fe571d46ee,Retailer 1010,INDEPENDENT,Q007,Distributor C,Exclusive,9.7,5.3,3,15.9,4.4,45.360825,-1.49
2022-03-04,Normal,QRA-006-22RT09001300-01,f8d7cc6a0deb1163cfb90476b74db43e091f374c,FABRIC CARE,Brand 2,a6ec79a3ca7335835643015f94cf07516babe5a3,Retailer 832,CHAIN,Q006,Distributor B,Direct,1.6,1.55,6,9.3,0.05,3.125,0.43
2021-07-27,Normal,QRA-003-21RT06010920-01,1eb4bce777044661a7e1ac2deff82db442fdd2ec,SCRATCH COOKING AIDS,Brand 12,1a090d780a94bad71111c32de3d620372b00ebff,Retailer 138,INDEPENDENT,Q003,Distributor D,Selective,1.6,1.5,24,36.0,0.1,6.25,0.38
2024-10-02,Normal,QRA-004-24RT21004840-01,1714bf4a64a505ba22cf82e833b1c21a60f4709d,SKIN CLEANSING,Brand 17,14a064ab7f1827e7455bad7671c3cb3a0a61bbec,Retailer 107,INDEPENDENT,Q004,Distributor A,Exclusive,8.9,5.7,12,68.4,3.2,35.955055,-0.53
2021-04-16,Normal,QRA-004-21RT04006400-01,c01606e7bef098f92f6e17ba777e3456aa628b99,SKIN CLEANSING,Brand 7,9f887d70141d2514965169514cc78518a81919b1,Retailer 789,INDEPENDENT,Q004,Distributor A,Exclusive,10.0,5.35,6,32.1,4.65,46.5,-1.65
2023-09-26,Normal,QRA-007-23RT02010070-01,7837b371e7f56f9b7de370eb367323e1f6f10613,HAIR CARE,Brand 25,97e86abf2aee0dd2e4982f0b47ecf6dcfd7cc77b,Retailer 755,CHAIN,Q007,Distributor C,Exclusive,9.7,5.3,6,31.8,4.4,45.360825,-1.49
2021-07-22,Normal,QRA-007-21RT04011980-01,85da527d2a895ed4b3cb49c774a2e420bed5a9b1,HAIR CARE,Brand 25,f2116b377a1eb369c2920a2c3ecc8ca3cf95f13b,Retailer 1204,INDEPENDENT,Q007,Distributor C,Exclusive,6.2,2.9,6,17.4,3.3,53.225807,-1.44
2022-12-20,Normal,QRA-006-22RT08019390-01,5ed27a8a17bd2ab8627317342f5cd73037414a9b,FABRIC CARE,Brand 2,1a3bec4cfc406d1f02f94757e7b39080ffbe7a42,Retailer 140,CHAIN,Q006,Distributor B,Direct,12.6,8.25,4,33.0,4.35,34.52381,-0.57
2022-02-15,Normal,QRA-007-22RT08002380-01,bbff49b6e12bf33fc4ec19b4d958c401084818d9,HAIR CARE,Brand 25,1a3bec4cfc406d1f02f94757e7b39080ffbe7a42,Retailer 140,CHAIN,Q007,Distributor C,Exclusive,9.4,6.8,6,40.8,2.6,27.659575,0.22
2024-03-28,Normal,QRA-006-24RT05004640-01,b89133e0640509057e1a5045e7c8052c83d634bb,FABRIC CARE,Brand 2,8cd7595bf37edbf6d6df8829f0c3fa988c08a201,Retailer 705,INDEPENDENT,Q006,Distributor B,Direct,9.1,6.95,8,55.6,2.15,23.626373,0.58
